,localminute,use
283,2018-01-03 22:59:00,18.305000000000003
284,2018-01-03 23:14:00,14.628000000000002
285,2018-01-03 23:29:00,12.333
286,2018-01-03 23:44:00,13.603
287,2018-01-03 23:59:00,12.746000000000002
288,2018-01-04 00:14:00,11.588
289,2018-01-04 00:29:00,12.132
290,2018-01-04 00:44:00,13.22
291,2018-01-04 00:59:00,12.821
292,2018-01-04 01:14:00,11.448000000000002
293,2018-01-04 01:29:00,11.897000000000002
294,2018-01-04 01:44:00,13.196999999999996
295,2018-01-04 01:59:00,11.685000000000002
296,2018-01-04 02:14:00,56.863
297,2018-01-04 02:29:00,63.133
298,2018-01-04 02:44:00,61.540000000000006
299,2018-01-04 02:59:00,61.90000000000001
300,2018-01-04 03:14:00,63.18900000000001
301,2018-01-04 03:29:00,62.097
302,2018-01-04 03:44:00,61.18100000000001
303,2018-01-04 03:59:00,61.95300000000001
304,2018-01-04 04:14:00,63.01700000000001
305,2018-01-04 04:29:00,61.64100000000001
306,2018-01-04 04:44:00,61.12500000000001
307,2018-01-04 04:59:00,61.906000000000006
308,2018-01-04 05:14:00,43.325
309,2018-01-04 05:29:00,11.585
310,2018-01-04 05:44:00,11.077
311,2018-01-04 05:59:00,12.409
312,2018-01-04 06:14:00,13.829000000000002
313,2018-01-04 06:29:00,12.107000000000001
314,2018-01-04 06:44:00,12.175000000000002
315,2018-01-04 06:59:00,13.809999999999995
316,2018-01-04 07:14:00,12.527
317,2018-01-04 07:29:00,12.539999999999996
318,2018-01-04 07:44:00,16.334999999999994
319,2018-01-04 07:59:00,15.147
320,2018-01-04 08:14:00,14.304
321,2018-01-04 08:29:00,15.503000000000002
322,2018-01-04 08:44:00,14.269000000000002
323,2018-01-04 08:59:00,12.297
324,2018-01-04 09:14:00,12.219
325,2018-01-04 09:29:00,13.883
326,2018-01-04 09:44:00,13.546
327,2018-01-04 09:59:00,11.569999999999995
328,2018-01-04 10:14:00,12.445
329,2018-01-04 10:29:00,13.459000000000001
330,2018-01-04 10:44:00,11.672
